,Sales-,Sales Growth %,Expenses-,Material Cost %,Manufacturing Cost %,Employee Cost %,Other Cost %,Operating Profit,OPM %,Other Income,Interest,Depreciation,Profit before tax,Tax %,Net Profit,EPS in Rs,Dividend Payout %,Share Capital-,Equity Capital,Reserves,Borrowings,Other Liabilities-,Trade Payables,Advance from Customers,Other liability items,Total Liabilities,Fixed Assets-,Gross Block,Accumulated Depreciation,CWIP,Investments,Other Assets-,Inventories,Trade receivables,Cash Equivalents,Loans n Advances,Other asset items,Total Assets,company_id,Preference Capital,Non controlling int,Other Assets+
Mar 2015,20.53,-5.09%,16.91,32.88%,15.68%,15.88%,17.92%,3.62,17.63%,0.53,0.09,1.04,3.02,31.13%,2.08,4.22,42.58%,4.92,4.92,8.35,0.62,3.36,1.26,0.31,1.79,17.25,5.45,15.04,9.59,0.00,0.26,11.54,5.49,0.88,3.58,1.22,0.37,17.25,530521,,,
Mar 2016,25.75,25.43%,20.61,31.22%,15.81%,16.04%,16.97%,5.14,19.96%,0.60,0.04,1.22,4.48,32.59%,3.02,6.13,40.73%,4.92,4.92,9.89,0.45,3.95,1.47,0.29,2.19,19.21,6.07,16.62,10.55,0.00,0.25,12.89,4.87,0.52,6.23,0.93,0.34,19.21,530521,,,
Mar 2017,25.67,-0.31%,20.55,30.54%,19.91%,16.98%,12.62%,5.12,19.95%,1.36,0.08,1.36,5.04,29.96%,3.52,7.15,34.94%,4.92,4.92,13.53,0.45,2.98,2.23,0.03,0.72,21.88,8.77,19.61,10.84,0.03,0.25,12.83,6.58,2.07,3.00,0.66,0.52,21.88,530521,,,
Mar 2018,34.09,32.80%,28.97,36.81%,21.65%,15.20%,11.32%,5.12,15.02%,1.59,0.14,1.62,4.95,29.90%,3.47,7.05,21.27%,4.92,4.92,15.52,2.08,4.62,3.52,0.00,1.10,27.14,10.81,22.67,11.86,1.20,0.00,15.13,7.53,2.78,1.34,2.77,0.71,27.14,530521,,,
Mar 2019,24.13,-29.22%,21.18,40.16%,17.36%,18.98%,11.27%,2.95,12.23%,0.14,0.10,1.94,1.05,39.05%,0.65,1.32,0.00%,4.92,4.92,15.29,0.48,3.44,2.27,0.07,1.10,24.13,10.43,24.13,13.70,0.00,0.00,13.70,6.05,3.33,1.36,2.44,0.52,24.13,530521,,,
Mar 2020,26.38,9.32%,23.19,38.74%,21.30%,17.59%,10.27%,3.19,12.09%,0.78,0.05,1.91,2.01,25.87%,1.48,3.01,0.00%,4.92,4.92,16.79,1.43,3.42,2.43,0.02,0.97,26.56,9.32,24.91,15.59,0.00,0.00,17.24,7.53,3.60,2.97,2.52,0.62,26.56,530521,,,
TTM,21.71,,19.14,,,,,2.57,11.84%,0.69,0.07,1.82,1.37,,1.12,2.27,,,,,,,,,,,,,,,,,,,,,,,530521,,,
Sep 2020,,,,,,,,,,,,,,,,,,4.92,4.92,17.18,0.27,4.29,3.28,,1.01,26.66,8.50,,,0.00,0.00,18.16,8.09,2.95,5.41,0.25,1.46,26.66,530521,,,
Mar 2014,1.02,,1.10,96%,,7%,5%,-0.08,-7.84%,0.08,0.00,0.00,0.00,,0.00,0.00,,4.51,4.51,-0.69,0.00,0.63,0.63,,0.00,4.45,0.00,0.00,0.00,0.00,0.47,3.98,0.48,0.01,0.24,3.20,0.05,4.45,540134,,,
Mar 2015,7.32,617.65%,7.55,100%,,2%,1%,-0.23,-3.14%,0.29,0.00,0.00,0.06,33.33%,0.04,0.06,0.00%,6.65,6.65,-0.65,0.00,1.73,1.68,,0.05,7.73,0.00,0.00,0.00,0.00,0.47,7.26,0.00,1.10,0.08,6.04,0.04,7.73,540134,,,
Mar 2016,1.78,-75.68%,2.01,101%,,8%,4%,-0.23,-12.92%,0.35,0.00,0.00,0.12,33.33%,0.08,0.12,0.00%,6.47,6.47,-0.39,0.00,1.06,1.00,,0.06,7.14,0.00,0.00,0.00,0.00,0.47,6.67,0.00,0.94,0.06,5.66,0.01,7.14,540134,,,
Mar 2017,20.41,1046.63%,20.69,99%,,1%,2%,-0.28,-1.37%,0.32,0.00,0.00,0.04,25.00%,0.02,0.03,0.00%,6.47,6.47,-0.37,0.00,0.57,0.56,,0.01,6.67,0.01,0.01,0.00,0.00,0.47,6.19,0.51,0.98,0.14,4.45,0.11,6.67,540134,,,
Mar 2018,7.26,-64.43%,7.30,95%,,3%,2%,-0.04,-0.55%,0.29,0.01,0.01,0.23,26.09%,0.17,0.26,0.00%,6.47,6.47,-0.20,0.74,5.68,4.22,,1.46,12.69,0.71,0.72,0.01,0.00,0.47,11.51,3.44,2.03,0.03,5.90,0.11,12.69,540134,,,
Mar 2019,6.31,-13.09%,6.06,91%,,2%,3%,0.25,3.96%,0.34,0.06,0.23,0.30,26.67%,0.23,0.36,0.00%,6.47,6.47,0.03,0.65,0.23,0.07,,0.16,7.38,0.49,0.72,0.23,0.00,0.47,6.42,0.04,1.61,0.01,4.65,0.11,7.38,540134,,,
Mar 2020,5.30,-16.01%,6.53,95%,,6%,23%,-1.23,-23.21%,2.09,0.10,0.15,0.61,26.23%,0.45,0.70,0.00%,6.47,6.47,0.48,1.01,0.41,0.04,,0.37,8.37,0.33,,,0.00,0.00,8.04,0.00,2.35,0.11,0.12,5.46,8.37,540134,,,
TTM,4.72,,5.74,,,,,-1.02,-21.61%,1.06,0.08,0.14,-0.18,,-0.13,-0.20,,,,,,,,,,,,,,,,,,,,,,,540134,,,
Sep 2020,,,,,,,,,,,,,,,,,,6.47,6.47,0.43,1.02,0.29,0.07,,0.22,8.21,0.28,,,0.00,0.00,7.93,0.01,2.13,0.02,0.12,5.65,8.21,540134,,,
Mar 2009,54,-2.28%,54,93%,5%,1%,2%,-0,-0%,2,1,0,0,57%,0,0.10,0%,3,3.00,5,8,5,3.97,0.02,0.69,20,5,10.63,5.52,1,1,14,5.30,4.74,0.37,3.37,0.00,20,530953,,,
Mar 2010,69,27.91%,69,91%,5%,1%,2%,1,1%,1,1,0,1,4%,1,1.70,0%,3,3.00,5,10,4,3.60,0.08,0.75,22,5,11.03,5.96,1,1,16,7.92,4.97,0.41,2.66,0.00,22,530953,,,
Mar 2011,76,9.99%,74,89%,6%,1%,1%,2,2%,0,1,0,1,25%,0,1.50,0%,3,3.00,6,10,4,2.72,0.03,0.93,22,6,12.42,6.41,0,1,15,5.50,5.87,0.20,0.88,2.50,22,530953,,,
Mar 2012,77,1.80%,75,86%,7%,1%,2%,3,3%,0,1,1,1,29%,1,2.43,0%,3,3.00,6,11,5,3.67,0.04,1.00,25,7,11.03,4.30,0,1,18,8.18,4.37,0.37,2.30,2.37,25,530953,,,
Mar 2013,107,37.64%,103,89%,3%,1%,4%,3,3%,1,1,1,2,35%,1,3.60,0%,3,3.00,7,12,3,1.51,0.03,1.37,26,8,13.30,4.90,0,1,17,6.84,6.51,0.40,0.96,1.87,26,530953,,,
Mar 2014,136,27.14%,132,91%,4%,1%,1%,3,2%,1,1,1,2,29%,1,3.56,14%,3,3.00,8,14,6,4.07,0.02,1.57,31,8,14.16,5.69,0,1,21,9.55,7.63,0.31,1.10,2.78,31,530953,,,
Mar 2015,104,-23.21%,102,87%,7%,2%,2%,3,2%,1,2,1,1,17%,1,2.80,18%,3,3.00,8,14,8,6.23,0.00,1.37,33,9,16.01,6.94,2,1,21,10.01,7.42,0.64,1.43,1.84,33,530953,,,
Mar 2016,110,5.54%,108,90%,5%,2%,1%,2,2%,1,2,1,0,27%,0,0.73,0%,3,3.00,9,17,8,6.72,0.03,1.14,37,11,18.87,8.10,3,0,23,9.96,9.68,1.20,0.71,1.74,37,530953,,,
Mar 2017,133,20.83%,129,88%,5%,2%,3%,4,3%,1,2,1,1,28%,1,2.80,18%,3,3.00,9,22,7,4.33,0.73,1.76,41,10,19.80,9.36,4,0,27,11.47,9.55,1.67,2.77,1.06,41,530953,,,
Mar 2018,142,7.11%,138,88%,5%,2%,3%,4,3%,1,3,1,1,26%,1,2.20,23%,3,3.00,10,23,10,5.38,2.25,2.86,46,12,22.75,10.48,3,0,30,11.45,14.85,0.81,2.38,0.82,46,530953,,,
Mar 2019,134,-5.43%,131,88%,6%,2%,3%,3,2%,2,2,2,1,44%,0,1.57,32%,3,3.00,10,27,7,4.75,0.02,2.02,46,16,24.69,8.83,1,0,30,11.67,14.73,0.19,1.98,1.18,46,530953,,,
Mar 2020,139,3.25%,135,88%,5%,2%,2%,4,3%,1,3,1,1,41%,0,1.53,0%,3,3.00,10,23,14,11.32,0.06,2.16,50,17,26.91,10.19,0,0,33,14.32,15.40,0.48,0.89,1.59,50,530953,,,
TTM,143,,140,,,,,4,3%,1,3,1,1,,1,2.10,,,,,,,,,,,,,,,,,,,,,,,530953,,,
Sep 2020,,,,,,,,,,,,,,,,,,3,3.00,11,26,20,16.60,,3.77,59,16,,,1,0,42,22.14,16.83,0.66,0.00,2.59,59,530953,,,
Mar 2013,31226,,30437,97%,0%,0%,0%,789,3%,3,300,2,490,8%,453,15.33,7%,30,29.53,2385,2729,8697,8050,571,76,13840,69,88,19,0,3,13767,775,2329,9846,816,1,13840,531500,,0,
Mar 2014,29197,-6.50%,28414,96%,0%,0%,1%,783,3%,1,363,16,404,11%,357,12.11,8%,30,29.53,2713,3118,5378,5216,74,88,11238,168,168,0,0,13,11056,571,2415,7214,814,42,11238,531500,,0,
Mar 2015,50463,72.83%,49196,97%,0%,0%,0%,1266,3%,0,478,62,726,10%,655,22.18,5%,30,29.53,3332,3842,8877,8739,10,127,16081,264,264,0,0,60,15756,568,2990,11406,751,42,16081,531500,,0,
Mar 2016,165179,227.33%,163452,99%,0%,0%,0%,1727,1%,42,578,79,1112,4%,1069,36.21,3%,30,29.53,4362,4594,11956,10853,10,701,20941,1287,1287,0,62,841,18752,993,4890,12063,738,69,20941,531500,,392,
Mar 2017,242132,46.59%,240382,99%,0%,0%,0%,1750,1%,48,430,65,1303,5%,1244,42.12,3%,30,29.53,5606,5552,12943,12145,9,540,24131,1199,1199,0,88,919,21925,1163,5020,14840,852,50,24131,531500,,249,
Mar 2018,187686,-22.49%,185802,99%,0%,0%,0%,1884,1%,62,537,68,1342,6%,1266,42.87,2%,30,29.53,7145,8717,7643,7163,9,471,23535,1289,1289,0,5,1020,21221,1722,3993,14470,987,50,23535,531500,,0,
Mar 2019,175763,-6.35%,173967,99%,0%,0%,0%,1796,1%,66,442,74,1346,4%,1292,43.76,2%,30,29.53,8811,6198,13803,13467,9,328,28841,1452,1452,0,2,1088,26300,3937,6148,15063,1092,60,28841,531500,,0,
Mar 2020,195600,11.29%,194273,99%,0%,0%,0%,1327,1%,7,-0,73,1261,4%,1206,40.84,2%,30,29.53,10505,1279,18915,18687,,228,30728,1521,,,1,1142,28064,4774,9320,12788,530,652,30728,531500,,0,
TTM,236358,,235330,,,,,1028,0%,4,0,74,958,,913,30.93,,,,,,,,,,,,,,,,,,,,,,,531500,,,
Sep 2020,,,,,,,,,,,,,,,,,,30,29.53,10783,888,7665,7427,,238,19365,1515,,,2,1095,16753,4807,8416,2329,576,624,19365,531500,,0,
Mar 2012,584,,541,86%,2%,1%,4%,44,7%,5,8,1,39,22%,31,4.75,14%,9,8.62,216,10,257,248,0,9,492,58,67,9,3,0,430,148,104,154,14,10,492,524820,,,
Mar 2013,635,8.65%,614,90%,2%,0%,5%,20,3%,3,8,2,13,8%,12,1.84,29%,9,8.61,223,22,168,161,0,7,422,73,84,11,6,0,343,128,119,55,39,3,422,524820,,,
Mar 2014,635,0.04%,604,89%,0%,1%,5%,31,5%,1,6,2,23,22%,18,2.92,26%,8,8.07,231,17,205,190,0,15,461,77,90,13,40,0,345,131,167,25,23,0,461,524820,,,
Mar 2015,805,26.81%,773,88%,2%,1%,5%,32,4%,1,8,3,22,18%,18,2.93,46%,8,8.07,241,42,207,189,0,18,498,119,136,17,0,0,379,167,174,12,19,6,498,524820,,,
Mar 2016,752,-6.65%,704,86%,0%,1%,6%,48,6%,2,8,5,37,31%,25,4.16,8%,8,8.07,264,57,162,151,1,10,492,123,144,22,0,2,366,165,154,15,24,9,492,524820,,,
Mar 2017,834,10.88%,759,82%,2%,1%,5%,75,9%,4,9,5,66,33%,44,7.24,9%,8,8.07,305,33,323,308,1,15,669,125,152,26,4,1,538,302,183,23,15,16,669,524820,,,
Mar 2018,1326,59.12%,1219,85%,2%,1%,5%,108,8%,2,14,5,90,32%,61,10.08,12%,12,12.10,359,45,559,533,1,26,976,134,165,31,14,0,828,445,280,34,57,11,976,524820,,,
Mar 2019,1269,-4.29%,1169,82%,2%,1%,7%,100,8%,3,25,6,72,27%,52,8.58,14%,12,12.10,402,160,346,315,5,25,919,156,193,37,11,0,752,384,314,16,30,9,919,524820,,,
Mar 2020,1003,-21.00%,950,83%,3%,1%,7%,53,5%,4,17,7,32,10%,29,4.76,25%,12,12.10,421,51,273,257,2,14,757,173,216,44,17,0,567,254,251,41,21,1,757,524820,,,
TTM,958,,898,,,,,60,6%,3,12,8,44,,35,5.77,,,,,,,,,,,,,,,,,,,,,,,524820,,,
Sep 2020,,,,,,,,,,,,,,,,,,12,12.10,436,50,257,227,,30,755,169,,,22,0,563,239,262,38,2,22,755,524820,,,
Mar 2009,117,10.40%,112,45%,10%,25%,15%,4,4%,3,6,6,-5,-10%,-5,-7.01,0%,7,7.44,31,59,39,24,3,9,136,53,90,38,1,1,81,53,10,3,14,-0,136,532054,,2,
Mar 2010,123,5.84%,123,55%,8%,22%,15%,0,0%,3,8,6,-10,13%,-7,-9.85,0%,7,7.44,24,66,42,26,2,9,140,51,93,42,1,2,87,55,12,3,18,-2,140,532054,,5,
Mar 2011,175,41.94%,155,49%,8%,20%,12%,20,12%,1,9,5,7,33%,5,6.88,44%,8,7.86,32,65,62,29,1,25,168,54,101,47,1,2,111,71,17,5,7,12,168,532054,,6,
Mar 2012,230,31.51%,202,50%,12%,19%,7%,28,12%,2,11,7,12,39%,6,6.76,45%,9,8.92,39,99,80,39,6,28,227,67,119,52,9,1,150,97,20,7,12,14,227,532054,,8,
Mar 2013,272,18.00%,252,56%,13%,18%,7%,20,7%,1,15,9,-3,-1%,-3,-3.11,-32%,9,9.12,34,108,94,48,4,23,245,76,136,60,1,1,167,114,17,8,13,15,245,532054,,18,
Mar 2014,335,23.14%,304,57%,5%,15%,14%,31,9%,3,16,8,11,18%,9,9.43,16%,9,9.12,39,116,118,68,4,28,282,79,146,67,1,1,201,136,21,12,19,14,282,532054,,18,
Mar 2015,412,22.94%,370,58%,6%,13%,13%,42,10%,2,18,12,14,37%,9,9.53,21%,9,9.16,42,122,145,85,2,27,318,74,155,81,3,1,241,169,25,13,19,15,318,532054,,31,
Mar 2016,450,9.30%,417,62%,5%,13%,14%,33,7%,4,18,11,8,47%,5,5.27,29%,10,10.17,72,118,141,78,3,27,342,79,168,89,3,1,259,185,26,12,17,19,342,532054,,34,
Mar 2017,453,0.77%,425,62%,5%,13%,13%,28,6%,5,17,12,4,48%,2,1.94,78%,11,10.93,94,115,136,72,6,24,357,79,89,10,5,1,272,190,26,20,17,18,357,532054,,35,
Mar 2018,502,10.70%,455,60%,5%,13%,12%,47,9%,5,15,12,25,28%,17,15.63,16%,11,11.04,119,138,158,86,8,34,426,84,106,22,24,1,317,201,33,18,43,22,426,532054,,30,
Mar 2019,625,24.57%,556,58%,6%,14%,12%,69,11%,3,18,13,40,38%,22,19.03,13%,12,11.72,179,154,170,85,4,37,515,144,179,34,7,1,363,240,31,22,48,21,515,532054,,44,
Mar 2020,652,4.36%,572,58%,6%,16%,8%,80,12%,6,33,48,5,139%,-1,-0.51,-398%,12,11.74,174,290,177,87,8,40,652,269,320,51,3,1,379,253,28,28,56,14,652,532054,,42,
TTM,533,,484,,,,,50,9%,16,29,49,-12,,-10,-8.65,,,,,,,,,,,,,,,,,,,,,,,532054,,,
Sep 2020,,,,,,,,,,,,,,,,,,12,11.65,160,215,202,73,,91,589,254,,,5,1,328,214,27,21,18,49,589,532054,,38,
Mar 2009,10.10,4.12%,8.47,37%,36%,4%,7%,1.63,16.14%,0.04,0.41,0.16,1.10,42.73%,0.63,,82.59%,4.73,4.73,0.09,1.63,3.84,1.43,0.00,2.41,10.29,1.45,3.56,2.11,0.17,0.05,8.62,6.24,0.03,0.27,2.08,0.00,10.29,526823,,,
Mar 2010,7.59,-24.85%,6.70,44%,29%,6%,9%,0.89,11.73%,0.04,0.21,0.17,0.55,30.91%,0.38,0.69,72.76%,5.53,5.53,0.33,2.02,3.41,1.03,0.40,1.98,11.29,3.56,5.84,2.28,1.26,0.03,6.44,2.89,0.03,0.53,2.99,0.00,11.29,526823,,,
Mar 2011,5.74,-24.37%,5.02,46%,20%,8%,13%,0.72,12.54%,0.04,0.26,0.19,0.31,32.26%,0.21,0.38,79.00%,5.53,5.53,0.35,3.57,4.93,0.00,0.00,4.93,14.38,4.69,7.16,2.47,2.61,0.01,7.07,3.24,0.21,0.52,3.10,0.00,14.38,526823,,,
Mar 2012,11.53,100.87%,8.87,44%,19%,5%,9%,2.66,23.07%,-0.01,0.94,0.26,1.45,32.41%,0.98,1.77,28.21%,5.53,5.53,1.01,7.69,4.11,1.03,0.00,3.08,18.34,5.22,7.95,2.73,2.61,0.01,10.50,3.51,0.03,0.33,6.63,0.00,18.34,526823,,,
Mar 2013,12.53,8.67%,9.11,23%,21%,8%,21%,3.42,27.29%,0.03,1.65,0.36,1.44,18.75%,1.17,2.12,47.26%,5.53,5.53,1.53,14.05,5.20,0.29,0.00,4.91,26.31,8.81,11.90,3.09,0.00,0.01,17.49,10.45,0.00,0.52,6.51,0.01,26.31,526823,,,
Mar 2014,10.49,-16.28%,8.48,32%,18%,12%,19%,2.01,19.16%,0.07,2.43,0.47,-0.82,19.51%,-0.66,-1.19,0.00%,5.53,5.53,0.88,19.98,4.29,0.00,0.00,4.29,30.68,14.06,17.62,3.56,0.00,0.01,16.61,10.98,0.03,0.46,5.14,0.00,30.68,526823,,,
Mar 2015,4.09,-61.01%,4.84,37%,29%,26%,27%,-0.75,-18.34%,0.49,0.15,1.10,-1.51,-10.60%,-1.66,-3.00,0.00%,5.53,5.53,-0.79,17.87,5.79,2.59,0.00,3.20,28.40,12.02,16.61,4.59,0.00,0.01,16.37,11.45,0.07,0.43,4.42,0.00,28.40,526823,,,
Mar 2016,1.59,-61.12%,-2.48,35%,18%,49%,-258%,4.07,255.97%,-9.19,0.20,0.71,-6.03,20.07%,-4.82,-8.71,0.00%,5.53,5.53,-5.61,16.76,7.80,4.06,0.00,3.74,24.48,6.78,10.96,4.18,0.00,0.01,17.69,11.45,0.04,0.36,5.75,0.09,24.48,526823,,,
Mar 2017,0.65,-59.12%,1.02,0%,14%,74%,69%,-0.37,-56.92%,1.41,0.12,0.33,0.59,0.00%,0.60,1.08,0.00%,5.53,5.53,-5.01,15.55,8.12,4.17,0.00,3.95,24.19,6.56,11.08,4.52,0.00,0.01,17.62,11.45,0.01,0.37,5.69,0.10,24.19,526823,,,
Mar 2018,0.09,-86.15%,0.52,0%,22%,300%,256%,-0.43,-477.78%,0.28,0.11,0.33,-0.59,-8.47%,-0.63,-1.14,0.00%,5.53,5.53,-5.64,16.14,7.77,4.50,0.00,3.27,23.80,6.24,11.08,4.84,0.00,0.01,17.55,11.45,0.01,0.32,5.68,0.09,23.80,526823,,,
Mar 2019,0.00,-100.00%,0.72,,,,,-0.72,,0.29,0.03,0.29,-0.75,-5.33%,-0.79,-1.43,0.00%,5.53,5.53,-6.42,15.91,8.14,4.61,0.00,3.53,23.16,5.95,11.08,5.13,0.00,0.01,17.20,11.45,0.05,0.31,5.31,0.08,23.16,526823,,,
Mar 2020,3.73,,3.59,83%,0%,7%,7%,0.14,3.75%,0.94,0.01,0.25,0.82,4.88%,0.78,1.41,0.00%,5.53,5.53,-5.65,2.82,15.84,2.17,,13.67,18.54,5.69,,,0.00,0.00,12.85,8.63,0.16,0.22,2.20,1.64,18.54,526823,,,
TTM,2.44,,2.39,,,,,0.05,2.05%,0.86,0.00,0.22,0.69,,0.66,1.19,,,,,,,,,,,,,,,,,,,,,,,526823,,,
Sep 2020,,,,,,,,,,,,,,,,,,5.53,5.53,-5.77,2.81,15.67,2.06,,13.61,18.24,5.59,,,0.00,0.00,12.65,8.37,0.11,0.31,2.22,1.64,18.24,526823,,,
Sep 2018,129,,127,96%,1%,0%,1%,3,2%,0,1,0,1,36%,1,0.70,0%,10,10.30,2,29,20,16.40,0.58,3.26,61,0,0.45,0.04,0,0,61,2.44,57.10,0.00,0.49,0.69,61,542721,,,
Mar 2019,283,,276,95%,1%,1%,1%,6,2%,0,3,0,3,33%,2,2.08,24%,10,10.30,4,29,11,9.35,0.00,1.92,54,0,0.46,0.04,0,0,54,2.06,48.78,0.16,0.97,1.65,54,542721,,,
Mar 2020,244,-13.71%,241,93%,0%,0%,5%,3,1%,1,3,0,1,26%,1,0.45,0%,,14.98,,,,,,,,,,,,,,,,,,,,542721,,,
Mar 2019,2729,,1947,24.48%,29.04%,6.85%,10.97%,782,29%,84,56,164,645,-93%,1249,,-0%,11,10.99,3499,968,441,232,3,209,4919,2305,2916,611,229,342,2042,642,574,41,474,312,4919,542812,,-3,
Mar 2020,2606,-4.50%,2167,29.20%,32.03%,8.03%,13.90%,439,17%,190,105,192,332,43%,196,17.87,-0%,11,10.99,3705,1718,634,367,10,268,6067,2414,3211,797,318,259,3076,813,565,17,704,978,6067,542812,,-11,
TTM,2380,,1902,,,,,478,20%,237,123,198,394,,218,19.85,,,,,,,,,,,,,,,,,,,,,,,542812,,,
Sep 2020,,,,,,,,,,,,,,,,,,11,10.99,3851,1334,745,244,,511,5940,2419,,,331,173,3017,833,498,29,261,1397,5940,542812,,-11,
Mar 2009,6.02,-52%,5.30,,1.33%,17.61%,69.10%,0.72,11.96%,0.02,0.13,0.27,0.34,29.41%,0.24,,-0.00%,3.00,3.00,9.93,-0.00,3.57,3.26,,0.31,16.50,0.91,2.10,1.19,-0.00,-0.00,15.59,0.00,0.36,8.32,6.91,0.00,16.50,530393,,,
Mar 2010,8.20,36%,5.88,,1.59%,20.61%,49.51%,2.32,28.29%,0.01,0.29,0.36,1.68,30.95%,1.16,0.33,60.34%,7.00,7.00,17.88,-0.00,7.24,5.69,,1.55,32.12,1.81,3.29,1.48,-0.00,0.04,30.27,0.00,0.93,20.61,8.69,0.04,32.12,530393,,,
Mar 2011,11.13,36%,7.84,,1.80%,19.23%,49.42%,3.29,29.56%,0.03,0.32,0.53,2.47,32.79%,1.66,0.47,42.17%,7.00,7.00,18.67,-0.00,6.17,4.13,,2.04,31.84,2.03,4.04,2.01,-0.00,0.19,29.62,0.00,0.90,21.37,1.73,5.62,31.84,530393,,,
Mar 2012,12.05,8%,8.12,,2.57%,10.87%,53.94%,3.93,32.61%,0.02,0.48,0.61,2.86,16.08%,2.40,0.69,43.75%,7.00,7.00,19.84,-0.00,5.78,3.56,,2.22,32.62,1.64,4.25,2.62,-0.00,0.17,30.81,0.00,0.24,23.94,1.66,4.97,32.62,530393,,,
Mar 2013,14.08,17%,4.86,,1.63%,8.38%,24.50%,9.22,65.48%,0.03,0.65,0.48,8.12,17.98%,6.66,1.90,15.77%,7.00,7.00,25.28,-0.00,5.15,2.08,,3.07,37.43,1.16,4.14,2.98,-0.00,0.72,35.55,0.00,0.20,30.15,2.43,2.77,37.43,530393,,,
Mar 2014,11.91,-15%,5.02,,1.93%,14.11%,26.11%,6.89,57.85%,0.04,0.84,0.31,5.78,19.20%,4.66,1.33,-0.00%,7.00,7.00,31.17,-0.00,14.63,13.27,,1.36,52.80,0.85,4.14,3.29,-0.00,0.62,51.33,7.02,0.25,36.19,1.93,5.94,52.80,530393,,,
Mar 2015,8.56,-28%,4.72,,1.87%,20.44%,32.83%,3.84,44.86%,-0.00,0.95,0.26,2.63,29.66%,1.85,0.53,-0.00%,7.00,7.00,32.79,-0.00,22.85,22.02,,0.83,62.64,0.36,1.49,1.13,-0.00,0.62,61.66,0.00,0.42,53.82,1.72,5.70,62.64,530393,,,
Mar 2016,5.99,-30%,4.50,,7.18%,30.55%,37.40%,1.49,24.87%,-0.00,0.25,0.15,1.09,34.86%,0.70,0.20,-0.00%,7.00,7.00,33.49,-0.00,10.04,9.49,,0.55,50.53,0.36,1.64,1.28,-0.00,0.62,49.55,0.00,0.20,37.81,0.74,10.80,50.53,530393,,,
Mar 2017,4.70,-22%,4.07,,3.83%,54.04%,28.72%,0.63,13.40%,-0.00,0.07,0.11,0.45,22.22%,0.36,0.10,-0.00%,7.00,7.00,33.76,-0.00,2.98,2.43,,0.55,43.74,0.30,0.40,0.11,-0.00,0.62,42.82,0.00,0.32,26.73,1.06,14.71,43.74,530393,,,
Mar 2018,5.87,25%,4.79,,4.26%,42.25%,35.09%,1.08,18.40%,0.01,0.12,0.10,0.87,32.18%,0.60,0.17,-0.00%,7.00,7.00,34.37,-0.00,5.84,5.27,,0.57,47.21,3.58,3.77,0.19,-0.00,1.87,41.76,0.00,0.27,32.37,3.70,5.42,47.21,530393,,,
Mar 2019,1.97,-66%,4.71,,12.18%,120.30%,106.60%,-2.74,-139.09%,-0.56,0.18,0.28,-3.76,31.38%,-2.57,-0.73,-0.00%,7.00,7.00,31.80,-0.00,12.97,11.18,,1.79,51.77,0.63,1.05,0.42,-0.00,1.84,49.30,0.00,1.38,36.86,8.39,2.67,51.77,530393,,,
Mar 2020,9.76,395%,5.73,,3.07%,24.28%,31.35%,4.03,41.29%,-0.00,0.44,0.31,3.28,36.28%,2.09,0.60,-0.00%,7.00,7.00,33.92,0.09,16.95,16.21,,0.74,57.96,0.39,1.12,0.73,-0.00,2.28,55.29,0.00,3.07,44.12,1.54,6.56,57.96,530393,,,
TTM,11.54,,6.54,,,,,5.00,43.33%,0.00,0.35,0.32,4.33,,2.92,0.83,,,,,,,,,,,,,,,,,,,,,,,530393,,,
Sep 2020,,,,,,,,,,,,,,,,,,7.00,7.00,35.77,0.07,27.23,26.43,,0.80,70.07,0.30,,,-0.00,2.04,67.73,4.33,2.96,44.52,3.02,12.90,70.07,530393,,,
Mar 2009,241,-2.79%,216,53%,5%,9%,23%,25,10%,1,13,7,7,-3%,8,4.41,0%,17,17.04,105,102,52,34,2,16,276,85,132,47,0,20,171,67,70,5,28,0,276,526596,,,
Mar 2010,260,7.91%,236,53%,5%,10%,22%,25,10%,0,9,7,9,1%,9,5.40,0%,17,17.04,114,88,53,36,3,15,273,83,137,53,0,18,172,70,68,4,30,0,273,526596,,,
Mar 2011,298,14.42%,273,52%,6%,12%,22%,25,8%,0,8,7,10,0%,10,5.92,0%,17,17.04,125,91,87,67,2,18,320,86,146,59,1,16,216,81,78,18,17,23,320,526596,,,
Mar 2012,333,11.58%,303,51%,8%,11%,20%,29,9%,-3,12,7,7,-6%,8,4.48,0%,17,17.04,132,94,90,67,4,19,333,87,153,66,0,16,230,83,88,10,15,35,333,526596,,,
Mar 2013,336,1.13%,309,51%,9%,12%,20%,27,8%,0,12,8,7,-2%,7,4.21,0%,17,17.04,139,105,94,70,4,19,355,87,161,74,0,26,241,91,97,13,21,20,355,526596,,,
Mar 2014,484,43.89%,443,52%,6%,12%,21%,41,8%,1,16,11,14,5%,13,7.86,19%,17,17.04,121,117,114,82,4,28,368,99,193,93,0,1,267,112,116,7,19,13,368,526596,,,
Mar 2015,526,8.64%,482,52%,6%,12%,21%,44,8%,-0,16,12,15,-14%,17,10.01,15%,17,17.04,128,139,121,91,2,27,404,97,207,111,1,1,306,143,115,6,26,16,404,526596,,,
Mar 2016,454,-13.61%,411,47%,7%,15%,22%,43,9%,-1,16,14,12,18%,10,5.99,0%,17,17.04,138,135,99,74,3,22,389,98,219,121,1,1,289,141,95,8,26,18,389,526596,,,
